"State","Locality","Beginning Of Month","New Admissions","Male","Female","Cured","Death","Default","Non-Responder","Total Discharge","Rutf Consumed","Screening","Sites","Month","Year"
"Gazera","El Qurashi",16,16,8,8,23,0,3,0,26,80,49,NA,"Jan","2016"
"Gazera","El Qurashi",56,24,11,13,0,0,0,0,0,-46,298,NA,"Apr","2016"
"Gazera","El Qurashi",80,41,16,25,22,0,2,0,24,16,225,NA,"May","2016"
"Gazera","El Qurashi",81,43,21,22,29,0,0,0,29,22,215,NA,"Jun","2016"
"Gazera","El Qurashi",93,51,31,30,36,2,0,0,38,14,0,NA,"Jul","2016"
"Gazera","El Qurashi",103,59,34,25,3,0,0,0,3,12,289,NA,"Aug","2016"
"Gazera","El Qurashi",163,69,34,35,8,0,12,2,22,8,0,NA,"Sep","2016"
"Gazera","El Qurashi",104,108,56,40,6,0,47,0,53,-40,0,NA,"Oct","2016"
"Gazera","El Qurashi",275,123,61,62,111,0,81,2,194,32,0,NA,"Nov","2016"
"Gazera","El Qurashi",204,81,39,40,52,0,8,2,62,52,293,NA,"Dec","2016"
"Gazera","El Kamlin",8,8,3,5,0,0,0,0,0,4,8,NA,"Jan","2016"
"Gazera","El Kamlin",119,19,11,8,2,0,2,1,5,16,7,NA,"Mar","2016"
"Gazera","El Kamlin",133,8,5,3,18,0,2,1,21,18,182,NA,"Apr","2016"
"Gazera","El Kamlin",120,22,15,7,8,0,0,1,9,6,552,NA,"May","2016"
"Gazera","El Kamlin",134,9,5,4,15,0,13,0,28,15,285,NA,"Jun","2016"
"Gazera","El Kamlin",115,10,5,5,8,0,10,0,18,19,8,NA,"Jul","2016"
"Gazera","El Kamlin",107,46,25,21,0,0,1,0,1,9,0,NA,"Aug","2016"
"Gazera","El Kamlin",158,119,55,32,22,0,9,0,31,29,1210,NA,"Sep","2016"
"Gazera","El Kamlin",246,56,23,33,91,0,0,0,91,79,0,NA,"Oct","2016"
"Gazera","El Kamlin",212,37,20,17,24,0,7,0,31,58,0,NA,"Nov","2016"
"Gazera","El Kamlin",216,23,13,10,28,0,38,0,66,37,739,NA,"Dec","2016"
"Gazera","El Manaqil",95,30,10,20,13,1,16,0,30,15,30,NA,"Jan","2016"
"Gazera","El Manaqil",98,34,17,17,19,0,58,0,77,58,34,NA,"Feb","2016"
"Gazera","El Manaqil",54,15,9,6,28,0,0,0,28,11,318,NA,"Mar","2016"
"Gazera","El Manaqil",40,23,16,7,27,0,3,0,30,11,410,NA,"Apr","2016"
"Gazera","El Manaqil",41,12,7,5,13,0,3,0,16,11,344,NA,"Jun","2016"
"Gazera","El Manaqil",17,24,13,11,4,0,2,0,6,11,0,NA,"Jul","2016"
"Gazera","El Manaqil",34,134,63,75,0,0,0,0,0,21,1675,NA,"Aug","2016"
"Gazera","El Manaqil",156,145,75,74,21,0,12,0,33,73,1829,NA,"Sep","2016"
"Gazera","El Manaqil",267,113,60,53,124,4,28,0,156,59,0,NA,"Oct","2016"
"Gazera","El Manaqil",222,65,35,30,106,1,24,0,131,51,0,NA,"Nov","2016"
"Gazera","El Manaqil",160,34,20,14,47,2,27,0,76,38,420,NA,"Dec","2016"
"Gazera","Ganub Elgazira",258,31,12,19,5,0,23,0,28,22,31,NA,"Jan","2016"
"Gazera","Ganub Elgazira",266,29,20,9,12,0,7,0,19,33,29,NA,"Feb","2016"
"Gazera","Ganub Elgazira",291,9,4,5,2,0,6,1,9,16,614,NA,"Mar","2016"
"Gazera","Ganub Elgazira",116,7,5,0,4,1,15,0,20,8,180,NA,"Apr","2016"
"Gazera","Ganub Elgazira",131,5,1,4,0,0,0,0,0,5,107,NA,"May","2016"
"Gazera","Ganub Elgazira",176,19,8,11,15,6,13,1,35,8,333,NA,"Jun","2016"
"Gazera","Ganub Elgazira",161,8,6,2,0,1,4,1,6,10,79,NA,"Jul","2016"
"Gazera","Ganub Elgazira",166,64,28,36,7,0,5,0,12,35.2,130,NA,"Aug","2016"
"Gazera","Ganub Elgazira",218,646,312,334,90,2,3,0,95,158.8,4363,NA,"Sep","2016"
"Gazera","Ganub Elgazira",287,149,87,63,94,1,75,0,170,-196,651,NA,"Oct","2016"
"Gazera","Ganub Elgazira",658,84,38,38,78,2,49,0,129,76,440,NA,"Nov","2016"
"Gazera","Ganub Elgazira",616,49,28,22,49,0,28,0,77,-73,529,NA,"Dec","2016"
"Gazera","Greater Medani",95,81,39,42,28,0,15,3,46,42,81,NA,"Jan","2016"
"Gazera","Greater Medani",130,70,24,46,7,0,11,3,21,27,70,NA,"Feb","2016"
"Gazera","Greater Medani",210,140,67,73,114,16,48,1,179,25,684,NA,"Mar","2016"
"Gazera","Greater Medani",133,54,27,27,31,2,23,1,57,-38,822,NA,"Apr","2016"
"Gazera","Greater Medani",130,17,28,26,18,2,15,0,35,28,960,NA,"May","2016"
"Gazera","Greater Medani",50,16,5,11,5,0,16,1,22,5,636,NA,"Jun","2016"
"Gazera","Greater Medani",64,236,139,88,149,20,52,0,221,-381,824,NA,"Jul","2016"
"Gazera","Greater Medani",192,728,386,331,214,50,77,1,342,100.5,644,NA,"Aug","2016"
"Gazera","Greater Medani",394,479,242,237,210,54,253,6,523,124,541,NA,"Sep","2016"
"Gazera","Greater Medani",363,305,145,160,227,36,109,0,372,-6,0,NA,"Oct","2016"
"Gazera","Greater Medani",317,156,82,74,94,14,79,1,188,68,0,NA,"Nov","2016"
"Gazera","Greater Medani",287,103,62,42,71,7,33,4,115,93,0,NA,"Dec","2016"
"Gazera","Sharg El Gezira",174,35,17,18,27,1,12,2,42,17,104,NA,"Jan","2016"
"Gazera","Sharg El Gezira",105,20,8,12,10,0,0,0,10,-77,20,NA,"Feb","2016"
"Gazera","Sharg El Gezira",185,44,20,12,32,0,12,0,44,23,512,NA,"Mar","2016"
"Gazera","Sharg El Gezira",177,41,18,23,8,7,10,0,25,34,713,NA,"Apr","2016"
"Gazera","Sharg El Gezira",196,29,7,17,40,0,6,0,46,34,535,NA,"May","2016"
"Gazera","Sharg El Gezira",158,11,4,7,12,0,2,0,14,55,341,NA,"Jun","2016"
"Gazera","Sharg El Gezira",44,6,2,4,19,0,18,0,37,11,170,NA,"Jul","2016"
"Gazera","Sharg El Gezira",13,44,21,23,21,0,7,0,28,40,0,NA,"Aug","2016"
"Gazera","Sharg El Gezira",137,93,41,52,36,2,12,0,50,46,1723,NA,"Sep","2016"
"Gazera","Sharg El Gezira",183,40,13,27,34,0,15,2,51,52,799,NA,"Oct","2016"
"Gazera","Sharg El Gezira",172,121,51,70,92,4,29,0,125,63,0,NA,"Nov","2016"
"Gazera","Sharg El Gezira",171,54,23,31,35,2,15,0,52,30,1164,NA,"Dec","2016"
"Gazera","Um Elqura",200,42,14,28,13,0,0,0,13,12,42,NA,"Jan","2016"
"Gazera","Um Elqura",233,26,13,13,0,0,0,0,0,6,26,NA,"Feb","2016"
"Gazera","Um Elqura",235,26,15,12,7,0,5,0,12,7,60,NA,"Mar","2016"
"Gazera","Um Elqura",248,16,12,4,17,0,10,3,30,135,116,NA,"Apr","2016"
"Gazera","Um Elqura",242,37,13,24,18,0,2,0,20,62,386,NA,"May","2016"
"Gazera","Um Elqura",261,33,13,20,20,0,8,0,28,30,395,NA,"Jun","2016"
"Gazera","Um Elqura",267,34,17,17,6,0,8,0,14,12,0,NA,"Jul","2016"
"Gazera","Um Elqura",290,82,34,48,33,0,43,0,76,32,1324,NA,"Aug","2016"
"Gazera","Um Elqura",294,195,96,99,23,0,19,1,43,60,2125,NA,"Sep","2016"
"Gazera","Um Elqura",446,72,29,43,54,2,28,3,87,64,378,NA,"Oct","2016"
"Gazera","Um Elqura",430,48,24,24,73,1,53,2,129,53,0,NA,"Nov","2016"
"Gazera","Um Elqura",350,35,21,15,72,0,38,1,111,38,0,NA,"Dec","2016"
"Gazera","El Hassahisa",38,67,40,27,40,1,0,2,43,10,69,NA,"Jan","2016"
"Gazera","El Hassahisa",22,40,18,32,35,3,0,0,38,12,40,NA,"Feb","2016"
"Gazera","El Hassahisa",24,34,20,14,31,1,0,1,33,4,98,NA,"Mar","2016"
"Gazera","El Hassahisa",22,35,20,10,24,1,0,1,26,3,100,NA,"Apr","2016"
"Gazera","El Hassahisa",4,43,13,30,18,2,1,0,21,6,116,NA,"Jun","2016"
"Gazera","El Hassahisa",38,110,48,61,64,4,12,1,81,8,50,NA,"Jul","2016"
"Gazera","El Hassahisa",14,118,68,50,72,5,4,0,81,137,0,NA,"Aug","2016"
"Gazera","El Hassahisa",37,450,222,205,223,11,10,0,244,51.5,476,NA,"Sep","2016"
"Gazera","El Hassahisa",271,178,91,89,111,9,28,0,148,45.5,0,NA,"Oct","2016"
"Gazera","El Hassahisa",295,159,80,79,47,1,5,0,53,38,0,NA,"Nov","2016"
"Gazera","El Hassahisa",420,102,43,63,66,0,37,0,103,31.5,0,NA,"Dec","2016"
"Blue Nile","Ed Damazine",406,194,106,88,125,0,9,1,135,160,5162,NA,"Jan","2016"
"Blue Nile","Ed Damazine",417,186,101,85,110,3,10,0,123,129,4440,NA,"Feb","2016"
"Blue Nile","Ed Damazine",424,223,114,109,93,1,9,0,103,153,5346,NA,"Mar","2016"
"Blue Nile","Ed Damazine",464,287,142,139,104,1,11,0,116,177,752,NA,"Apr","2016"
"Blue Nile","Ed Damazine",564,317,162,154,143,1,19,0,163,250,1027,NA,"May","2016"
"Blue Nile","Ed Damazine",569,620,360,260,119,2,11,1,133,275,9814,NA,"Jun","2016"
"Blue Nile","Ed Damazine",809,489,202,289,197,4,23,0,224,348.5,4762,NA,"Jul","2016"
"Blue Nile","Ed Damazine",752,438,208,211,233,2,11,2,248,345,0,NA,"Aug","2016"
"Blue Nile","Ed Damazine",912,250,118,131,248,5,26,0,279,313,463,NA,"Sep","2016"
"Blue Nile","Ed Damazine",736,150,74,76,278,10,9,0,297,158,0,NA,"Oct","2016"
"Blue Nile","Ed Damazine",549,132,56,76,180,3,25,2,210,151,315,NA,"Nov","2016"
"Blue Nile","Ed Damazine",408,176,69,107,134,2,14,1,151,63,6,NA,"Dec","2016"
"Blue Nile","El Kurmuk",208,62,29,33,98,2,1,0,101,64.5,353,NA,"Jan","2016"
"Blue Nile","El Kurmuk",196,59,27,26,102,4,4,0,110,77,3199,NA,"Feb","2016"
"Blue Nile","El Kurmuk",143,26,10,8,60,0,5,0,65,51.5,438,NA,"Mar","2016"
"Blue Nile","El Kurmuk",104,31,16,16,67,1,6,0,74,35,334,NA,"Apr","2016"
"Blue Nile","El Kurmuk",77,39,19,20,49,3,1,0,53,82,676,NA,"May","2016"
"Blue Nile","El Kurmuk",63,76,42,31,28,4,2,0,34,56,533,NA,"Jun","2016"
"Blue Nile","El Kurmuk",86,44,13,13,29,2,3,0,34,111,0,NA,"Jul","2016"
"Blue Nile","El Kurmuk",96,28,22,16,32,0,2,0,34,56,806,NA,"Aug","2016"
"Blue Nile","El Kurmuk",91,53,37,31,45,1,1,1,48,29.5,524,NA,"Sep","2016"
"Blue Nile","El Kurmuk",94,24,11,13,43,1,5,0,49,33.5,0,NA,"Oct","2016"
"Blue Nile","El Kurmuk",39,55,27,28,44,1,2,1,48,32,437,NA,"Nov","2016"
"Blue Nile","El Kurmuk",78,29,15,14,22,0,0,1,23,46,911,NA,"Dec","2016"
"Blue Nile","El Roseiris",335,125,49,76,106,2,13,0,121,131,3519,NA,"Jan","2016"
"Blue Nile","El Roseiris",357,110,39,71,112,0,15,1,128,191,2863,NA,"Feb","2016"
"Blue Nile","El Roseiris",329,122,54,68,59,2,10,1,72,177.5,7962,NA,"Mar","2016"
"Blue Nile","El Roseiris",345,142,62,80,89,1,20,0,110,153.5,9749,NA,"Apr","2016"
"Blue Nile","El Roseiris",381,117,57,60,106,2,15,2,125,174,2104,NA,"May","2016"
"Blue Nile","El Roseiris",371,385,167,218,96,3,18,2,119,239.5,13143,NA,"Jun","2016"
"Blue Nile","El Roseiris",606,371,176,195,215,7,15,0,237,679.5,414,NA,"Jul","2016"
"Blue Nile","El Roseiris",764,234,109,125,225,7,27,10,269,248,234,NA,"Aug","2016"
"Blue Nile","El Roseiris",699,250,113,137,100,3,22,3,128,194,0,NA,"Sep","2016"
"Blue Nile","El Roseiris",815,83,45,38,253,4,29,1,287,191,0,NA,"Oct","2016"
"Blue Nile","El Roseiris",478,60,31,29,146,3,29,3,181,127.5,0,NA,"Nov","2016"
"Blue Nile","El Roseiris",330,67,31,36,118,1,11,1,131,107,0,NA,"Dec","2016"
"Blue Nile","El Tadamon",249,67,30,37,72,1,5,1,79,91,203,NA,"Jan","2016"
"Blue Nile","El Tadamon",242,41,22,19,41,0,0,0,41,39,307,NA,"Feb","2016"
"Blue Nile","El Tadamon",245,98,51,44,99,0,2,0,101,83,615,NA,"Mar","2016"
"Blue Nile","El Tadamon",241,168,72,96,65,1,2,1,69,123,364,NA,"Apr","2016"
"Blue Nile","El Tadamon",343,116,49,67,132,0,6,1,139,129,712,NA,"May","2016"
"Blue Nile","El Tadamon",327,301,140,160,114,0,6,1,121,342,8064,NA,"Jun","2016"
"Blue Nile","El Tadamon",515,88,44,44,35,0,5,0,40,141,671,NA,"Jul","2016"
"Blue Nile","El Tadamon",566,91,49,42,174,1,4,0,179,96,766,NA,"Aug","2016"
"Blue Nile","El Tadamon",489,13,5,8,138,0,1,0,139,73,167,NA,"Sep","2016"
"Blue Nile","El Tadamon",365,6,3,3,1,0,10,0,11,22,76,NA,"Oct","2016"
"Blue Nile","El Tadamon",362,61,19,11,134,0,6,0,140,72,344,NA,"Nov","2016"
"Blue Nile","El Tadamon",292,57,30,27,39,1,3,0,43,59,0,NA,"Dec","2016"
"Blue Nile","Baw",242,95,48,47,74,0,1,0,75,119,2087,NA,"Jan","2016"
"Blue Nile","Baw",261,16,10,6,93,0,1,0,94,66,350,NA,"Feb","2016"
"Blue Nile","Baw",177,30,9,21,83,0,1,0,84,58,45,NA,"Mar","2016"
"Blue Nile","Baw",124,96,49,47,70,1,0,0,71,109,0,NA,"Apr","2016"
"Blue Nile","Baw",144,78,32,45,41,0,0,0,41,44,154,NA,"May","2016"
"Blue Nile","Baw",183,161,67,94,55,0,2,0,57,62,5056,NA,"Jun","2016"
"Blue Nile","Baw",293,84,41,43,139,1,3,0,143,93,624,NA,"Jul","2016"
"Blue Nile","Baw",241,113,52,63,93,2,0,0,95,114,64,NA,"Aug","2016"
"Blue Nile","Baw",261,107,47,60,92,1,2,0,95,137,2295,NA,"Sep","2016"
"Blue Nile","Baw",276,36,17,22,99,1,2,0,102,97,0,NA,"Oct","2016"
"Blue Nile","Baw",211,29,15,14,61,1,2,0,64,86,0,NA,"Nov","2016"
"Blue Nile","Baw",176,41,22,19,51,1,0,0,52,83,0,NA,"Dec","2016"
"Blue Nile","Geisan",425,78,38,40,130,1,2,2,135,178,204,NA,"Jan","2016"
"Blue Nile","Geisan",370,47,24,23,70,3,9,1,83,119,64,NA,"Feb","2016"
"Blue Nile","Geisan",334,74,26,48,37,0,4,2,43,98,690,NA,"Mar","2016"
"Blue Nile","Geisan",364,224,90,136,135,2,10,0,147,113,0,NA,"Apr","2016"
"Blue Nile","Geisan",408,98,59,48,119,1,9,0,129,111,114,NA,"May","2016"
"Blue Nile","Geisan",386,180,89,106,46,3,1,0,50,149,5015,NA,"Jun","2016"
"Blue Nile","Geisan",525,131,62,50,63,2,6,1,72,79,0,NA,"Jul","2016"
"Blue Nile","Geisan",612,213,99,133,121,8,24,0,153,100,1946,NA,"Aug","2016"
"Blue Nile","Geisan",564,119,53,52,102,3,6,0,111,138,0,NA,"Sep","2016"
"Blue Nile","Geisan",569,101,55,46,118,4,8,0,130,102,2298,NA,"Oct","2016"
"Blue Nile","Geisan",545,86,44,43,153,4,22,0,179,161,1256,NA,"Nov","2016"
"Blue Nile","Geisan",451,89,39,50,143,3,10,0,156,126,1867,NA,"Dec","2016"
"Blue Nile","Wad El Mahi",260,63,29,34,80,0,20,0,100,84.5,374,NA,"Jan","2016"
"Blue Nile","Wad El Mahi",226,64,32,32,48,0,10,1,59,77.5,2330,NA,"Feb","2016"
"Blue Nile","Wad El Mahi",237,91,39,52,57,0,14,0,71,92,1091,NA,"Mar","2016"
"Blue Nile","Wad El Mahi",266,206,100,106,85,1,13,0,99,164,24094,NA,"Apr","2016"
"Blue Nile","Wad El Mahi",382,158,66,91,101,1,19,0,121,185,337,NA,"May","2016"
"Blue Nile","Wad El Mahi",412,319,135,184,93,1,31,0,125,237,20404,NA,"Jun","2016"
"Blue Nile","Wad El Mahi",665,131,55,76,128,2,40,2,172,285,1650,NA,"Jul","2016"
"Blue Nile","Wad El Mahi",635,107,56,51,231,2,28,0,261,217,1487,NA,"Aug","2016"
"Blue Nile","Wad El Mahi",495,100,43,57,74,3,17,1,95,128,0,NA,"Sep","2016"
"Blue Nile","Wad El Mahi",508,57,34,23,128,2,22,2,154,104,0,NA,"Oct","2016"
"Blue Nile","Wad El Mahi",420,54,29,25,67,0,34,1,102,69,0,NA,"Nov","2016"
"Blue Nile","Wad El Mahi",373,48,20,28,86,0,22,0,108,77,2147,NA,"Dec","2016"
"Central Darfur","Azum",119,8,5,3,9,0,0,0,9,0,763,NA,"Jan","2016"
"Central Darfur","Azum",119,29,10,19,36,0,0,0,36,92,0,NA,"Feb","2016"
"Central Darfur","Azum",115,29,12,17,32,0,0,1,33,72,2727,NA,"Mar","2016"
"Central Darfur","Azum",107,46,20,26,38,0,0,0,38,50,2313,NA,"Apr","2016"
"Central Darfur","Azum",109,51,21,29,14,0,0,1,15,50,1708,NA,"May","2016"
"Central Darfur","Azum",147,41,20,27,42,0,1,0,43,40,1680,NA,"Jun","2016"
"Central Darfur","Azum",145,37,25,15,35,0,0,0,35,30,1311,NA,"Jul","2016"
"Central Darfur","Azum",141,60,26,34,38,2,0,6,46,51,1687,NA,"Aug","2016"
"Central Darfur","Azum",158,41,22,19,40,0,4,4,48,38,767,NA,"Sep","2016"
"Central Darfur","Azum",136,23,12,11,63,1,0,2,66,41,1570,NA,"Oct","2016"
"Central Darfur","Azum",96,14,8,6,14,0,0,3,17,30,632,NA,"Nov","2016"
"Central Darfur","Azum",91,18,7,11,20,0,3,2,25,0,954,NA,"Dec","2016"
"Central Darfur","Bendasi",43,39,15,24,27,0,1,0,28,26,653,NA,"Jan","2016"
"Central Darfur","Bendasi",55,17,5,12,19,0,1,1,21,32,411,NA,"Feb","2016"
"Central Darfur","Bendasi",50,59,26,33,56,0,0,0,56,42,721,NA,"Mar","2016"
"Central Darfur","Bendasi",52,63,29,34,32,0,0,0,32,38,355,NA,"Apr","2016"
"Central Darfur","Bendasi",98,63,34,31,72,0,1,0,73,65,2398,NA,"May","2016"
"Central Darfur","Bendasi",89,81,36,45,62,0,0,0,62,31,1557,NA,"Jun","2016"
"Central Darfur","Bendasi",107,56,23,33,67,0,3,0,70,36,1632,NA,"Jul","2016"
"Central Darfur","Bendasi",90,35,16,20,47,0,1,0,48,48,1851,NA,"Aug","2016"
"Central Darfur","Bendasi",78,41,18,24,40,0,0,0,40,44,1196,NA,"Sep","2016"
"Central Darfur","Bendasi",79,33,14,19,31,0,0,0,31,172,1688,NA,"Oct","2016"
"Central Darfur","Bendasi",81,27,12,15,47,0,3,0,50,29,3843,NA,"Nov","2016"
"Central Darfur","Bendasi",53,35,18,23,26,0,0,0,26,27,4216,NA,"Dec","2016"
"Central Darfur","Mukjar",88,48,22,26,64,0,0,0,64,46,2116,NA,"Jan","2016"
"Central Darfur","Mukjar",50,43,25,18,25,0,0,0,25,46,1596,NA,"Feb","2016"
"Central Darfur","Mukjar",68,66,32,34,34,0,0,0,34,74,7798,NA,"Mar","2016"
"Central Darfur","Mukjar",83,85,47,38,55,0,0,0,55,91,3066,NA,"Apr","2016"
"Central Darfur","Mukjar",130,135,61,74,98,0,0,0,98,144,3222,NA,"May","2016"
"Central Darfur","Mukjar",149,80,38,42,84,2,2,0,88,94,4207,NA,"Jun","2016"
"Central Darfur","Mukjar",155,129,53,76,106,1,2,0,109,135,3452,NA,"Jul","2016"
"Central Darfur","Mukjar",166,40,20,20,88,1,0,0,89,164,3780,NA,"Aug","2016"
"Central Darfur","Mukjar",110,32,17,15,31,0,0,0,31,11,3628,NA,"Sep","2016"
"Central Darfur","Mukjar",111,56,24,32,74,0,0,0,74,56,19984,NA,"Oct","2016"
"Central Darfur","Mukjar",69,28,13,15,42,6,0,0,48,56,3354,NA,"Nov","2016"
"Central Darfur","North Jebel Mara",334,75,25,50,12,0,0,0,12,3,954,NA,"Jan","2016"
"Central Darfur","North Jebel Mara",390,293,131,162,0,0,0,0,0,0,812,NA,"Feb","2016"
"Central Darfur","North Jebel Mara",683,87,41,46,31,1,67,0,99,38,0,NA,"Mar","2016"
"Central Darfur","North Jebel Mara",671,131,70,61,83,2,4,0,89,99,722,NA,"Apr","2016"
"Central Darfur","North Jebel Mara",421,60,26,34,73,2,1,0,76,63,256,NA,"May","2016"
"Central Darfur","North Jebel Mara",407,91,44,47,9,3,2,1,15,68,945,NA,"Jun","2016"
"Central Darfur","North Jebel Mara",485,130,66,64,83,1,0,1,85,59,354,NA,"Jul","2016"
"Central Darfur","North Jebel Mara",823,385,123,127,118,19,21,0,158,258,2535,NA,"Aug","2016"
"Central Darfur","North Jebel Mara",1065,290,151,139,331,6,3,1,341,-17,5964,NA,"Sep","2016"
"Central Darfur","North Jebel Mara",1026,162,71,91,194,2,0,0,196,129,3121,NA,"Oct","2016"
"Central Darfur","North Jebel Mara",987,117,52,63,55,0,0,0,55,26,2955,NA,"Nov","2016"
"Central Darfur","North Jebel Mara",1053,194,90,97,223,0,0,1,224,-10,3477,NA,"Dec","2016"
"Central Darfur","Um Dukhun",177,276,123,153,36,0,3,0,39,129,11956,NA,"Jan","2016"
"Central Darfur","Um Dukhun",364,393,163,230,116,2,3,0,121,683,16108,NA,"Feb","2016"
"Central Darfur","Um Dukhun",618,313,144,169,208,4,4,0,216,1375,21801,NA,"Mar","2016"
"Central Darfur","Um Dukhun",618,272,122,150,180,6,11,2,199,382,21643,NA,"Apr","2016"
"Central Darfur","Um Dukhun",644,367,172,202,269,0,11,1,281,766,19328,NA,"May","2016"
"Central Darfur","Um Dukhun",738,406,197,206,290,5,16,5,316,589,14822,NA,"Jun","2016"
"Central Darfur","Um Dukhun",843,600,283,351,478,8,23,4,513,686,26624,NA,"Jul","2016"
"Central Darfur","Um Dukhun",932,385,164,188,417,12,18,3,450,592,23193,NA,"Aug","2016"
"Central Darfur","Um Dukhun",900,300,141,177,357,2,12,2,373,437,17210,NA,"Sep","2016"
"Central Darfur","Um Dukhun",792,344,154,186,366,1,10,2,379,138,12386,NA,"Oct","2016"
"Central Darfur","Um Dukhun",750,249,105,142,317,4,15,4,340,523,17540,NA,"Nov","2016"
"Central Darfur","Wadi Salih",203,99,51,48,99,2,1,2,104,90,1597,NA,"Jan","2016"
"Central Darfur","Wadi Salih",214,82,46,36,58,1,7,1,67,112,1565,NA,"Feb","2016"
"Central Darfur","Wadi Salih",241,159,79,80,58,1,1,1,61,179,2845,NA,"Mar","2016"
"Central Darfur","Wadi Salih",349,128,57,71,116,0,2,2,120,163,2489,NA,"Apr","2016"
"Central Darfur","Wadi Salih",347,166,83,83,129,0,4,0,133,171,2700,NA,"May","2016"
"Central Darfur","Wadi Salih",399,195,83,104,146,0,2,2,150,200,3069,NA,"Jun","2016"
"Central Darfur","Wadi Salih",446,229,113,116,177,2,12,7,198,131,3185,NA,"Jul","2016"
"Central Darfur","Wadi Salih",482,211,93,100,153,3,10,1,167,256,3332,NA,"Aug","2016"
"Central Darfur","Wadi Salih",501,241,104,121,201,1,3,2,207,214,3035,NA,"Sep","2016"
"Central Darfur","Wadi Salih",548,103,44,59,165,10,4,2,181,251,2617,NA,"Oct","2016"
"Central Darfur","Wadi Salih",480,131,62,61,185,0,3,0,188,228,1932,NA,"Nov","2016"
"Central Darfur","Wadi Salih",65,16,7,9,16,1,1,3,21,0,895,NA,"Dec","2016"
"Central Darfur","Nertiti",295,78,41,37,70,0,6,0,76,114,1070,NA,"Jan","2016"
"Central Darfur","Nertiti",312,140,68,72,78,1,10,3,92,176,1010,NA,"Feb","2016"
"Central Darfur","Nertiti",350,264,112,152,108,2,11,3,124,272,2096,NA,"Mar","2016"
"Central Darfur","Nertiti",489,303,136,151,107,1,12,4,124,348,1658,NA,"Apr","2016"
"Central Darfur","Nertiti",667,263,129,132,241,0,12,22,275,337,1242,NA,"May","2016"
"Central Darfur","Nertiti",629,261,114,158,153,9,6,8,176,260,1060,NA,"Jun","2016"
"Central Darfur","Nertiti",811,451,204,246,316,10,18,21,365,353,2217,NA,"Jul","2016"
"Central Darfur","Nertiti",773,382,171,224,268,4,37,32,341,393,1771,NA,"Aug","2016"
"Central Darfur","Nertiti",791,426,41,40,298,9,23,3,333,91,1802,NA,"Sep","2016"
"Central Darfur","Nertiti",885,404,173,231,510,4,90,3,607,427,2551,NA,"Oct","2016"
"Central Darfur","Nertiti",673,189,84,103,204,2,21,5,232,262,1810,NA,"Nov","2016"
"Central Darfur","Nertiti",402,217,107,112,173,0,7,5,185,207,2980,NA,"Dec","2016"
"Central Darfur","Zalingi",332,122,62,60,104,1,1,2,108,35,1908,NA,"Jan","2016"
"Central Darfur","Zalingi",347,113,58,55,34,0,0,2,36,36,1700,NA,"Feb","2016"
"Central Darfur","Zalingi",420,150,76,74,109,4,4,5,122,32,5814,NA,"Mar","2016"
"Central Darfur","Zalingi",437,169,77,92,110,3,1,10,124,39,4197,NA,"Apr","2016"
"Central Darfur","Zalingi",426,123,51,59,161,1,2,3,167,22,5363,NA,"May","2016"
"Central Darfur","Zalingi",391,171,69,107,115,0,0,11,126,22,3602,NA,"Jun","2016"
"Central Darfur","Zalingi",439,423,194,229,251,31,5,4,291,311,4489,NA,"Jul","2016"
"Central Darfur","Zalingi",958,382,202,189,409,18,2,3,432,462,5873,NA,"Aug","2016"
"Central Darfur","Zalingi",975,365,181,188,410,6,2,6,424,361,7564,NA,"Sep","2016"
"Central Darfur","Zalingi",971,261,127,135,339,5,6,1,351,287,6378,NA,"Oct","2016"
"Central Darfur","Zalingi",839,179,99,100,255,6,10,2,273,346,6075,NA,"Nov","2016"
"Central Darfur","Zalingi",254,59,26,31,82,0,4,6,92,38,3025,NA,"Dec","2016"
"East Darfur","Abu Jabra",0,7,5,2,0,0,0,0,0,-30.5,0,NA,"Jan","2016"
"East Darfur","Abu Jabra",7,10,8,2,1,0,0,0,1,15,10,NA,"Feb","2016"
"East Darfur","Abu Jabra",16,8,3,5,5,0,4,0,9,15,14,NA,"Mar","2016"
"East Darfur","Abu Jabra",15,27,13,14,7,0,7,0,14,20,49,NA,"Apr","2016"
"East Darfur","Abu Jabra",28,40,18,22,11,0,4,1,16,35,168,NA,"May","2016"
"East Darfur","Abu Jabra",51,53,26,27,41,0,20,0,61,13,253,NA,"Jun","2016"
"East Darfur","Abu Jabra",41,51,21,30,10,2,16,0,28,37,309,NA,"Jul","2016"
"East Darfur","Abu Jabra",62,26,13,13,26,1,11,0,38,24,182,NA,"Aug","2016"
"East Darfur","Abu Jabra",50,36,18,18,30,0,5,1,36,19,262,NA,"Sep","2016"
"East Darfur","Abu Jabra",50,113,51,62,37,0,10,0,47,33,332,NA,"Oct","2016"
"East Darfur","Abu Jabra",114,55,23,32,71,0,3,0,74,34,268,NA,"Nov","2016"
"East Darfur","Abu Jabra",94,69,31,38,65,0,10,0,75,34.5,184,NA,"Dec","2016"
"East Darfur","Abu Karinka",29,45,20,25,51,1,2,0,54,40,57,NA,"Jan","2016"
"East Darfur","Abu Karinka",68,53,23,30,26,1,1,0,28,61,202,NA,"Feb","2016"
"East Darfur","Abu Karinka",92,138,62,76,29,0,4,5,38,96,255,NA,"Mar","2016"
